,Name,Edges,Type,Relationship,Collection
334,Vitzo,"['Mika', ""Mika and Andrea's father"", ""Misty's Corsola"", 'Ash Ketchum']",One-timer,Other,Original series
335,Pietra,"['Mika', 'Andrea', 'Ash Ketchum', ""Misty's Corsola""]",One-timer,Other,Original series
336,Madison,"['Professor Elm', 'Kurt', 'Marcellus', 'Trinity', 'Sakura', 'Dorian', 'Georgio', 'Max', 'Colonel Hansen', ""Misty's Togepi""]",One-timer,Other,Original series
337,Janina,"['Luka', 'Ash Ketchum']",Recurring,Other,Original series
338,Jasmine,"['Ash Ketchum', ""Misty's Corsola""]",Recurring,gym leader,Original series
339,Sparkle,['Officer Jenny'],Recurring,Pokémon,Original series
340,Myron,"['Ash Ketchum', ""Ash's Totodile""]",One-timer,Other,Original series
341,Chuck,"[""Misty's Corsola""]",Recurring,gym leader,Original series
342,Chuck's wife,"['Ash Ketchum', ""Misty's Corsola"", 'Whirl Cup winner']",One-timer,Other,Original series
343,Lugia,"['Trinity', 'Ash Ketchum']",Recurring,Pokémon,Original series
344,Captain Marius,"['Ash Ketchum', 'Band of Diglett thieves']",One-timer,Other,Original series
345,Orville,"['Ash Ketchum', 'Band of Diglett thieves']",One-timer,Pokémon,Original series
346,Wilbur,"['Mayor of Diglett Village', 'Ash Ketchum', 'Town Council members', ""Ash's Pikachu""]",One-timer,Other,Original series
347,Dayton,"['Band of Diglett thieves', 'Ash Ketchum']",One-timer,Other,Original series
348,Daizō‎,"['Ash Ketchum', 'Jenaro']",One-timer,Other,Original series
349,Mika,"['Ariene', 'Ash Ketchum']",One-timer,Other,Original series
350,Andrea,"['Dr. Namba', 'Butch', 'Cassidy', 'Ash Ketchum', 'Ritchie']",One-timer,Other,Original series
351,Mika and Andrea's father,"['Butch', 'Cassidy', 'Ash Ketchum', ""Ash's Pikachu"", 'Ritchie', 'Sparky', 'Georgio', 'Giovanni', 'Carl', 'Jessie', 'James', 'Koga', 'Lt. Surge', 'Sabrina', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",One-timer,Other,Original series
352,Misty's Corsola,"['Ash Ketchum', 'Ritchie', 'Luka', 'Butch', 'Cassidy', 'Jessie', 'James', 'Dr. Namba']",Recurring,Pokémon,Original series
353,Luka,['Ash Ketchum'],Recurring,Other,Original series
354,Luka's great-grandfather,"['Jasmine', ""Ash's Pikachu"", ""Brock's Onix"", 'Janina', ""Ash's Cyndaquil"", ""Flint's Infernape""]",One-timer,Other,Original series
355,Marcellus,['Ash Ketchum'],One-timer,Other,Original series
356,Maya,"['Morty', 'Ash Ketchum', 'Vincent', 'Attila', 'Hun', 'Kudo', 'Misty', 'Bill', 'Chuck']",Recurring,Other,Original series
357,Christopher,"['Kimie', 'Ash Ketchum', ""Ash's Phanpy""]",One-timer,Other,Original series
358,Harrison,"['Mr. Shellby', 'Ash Ketchum', ""Gary's Arcanine"", ""Ash's Phanpy""]",One-timer,Other,Original series
359,Trinity,"['Ash Ketchum', 'Mr. Shellby', 'Kimie', ""Ash's Pikachu"", 'Pryce', 'Nelson', ""Harrison's Houndoom"", 'Macy', ""Ash's Squirtle"", ""Ash's Totodile"", ""James's Mime Jr."", 'Lucy', ""Lucy's Seviper"", 'Jessie', 'James', 'Forrest', 'Goh']",One-timer,Other,Original series
360,Whirl Cup winner,"['Jessie', 'James', 'Ash Ketchum', 'Rocket Scout', 'Butch', 'Cassidy', ""Jessie's Yanma"", 'Matori', 'Dr. Zager']",One-timer,Other,Original series
361,Rita,"['Jessie', 'Giovanni', 'Carl', 'James', 'Koga', 'Lt. Surge', 'Sabrina', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Professor Sebastian', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",One-timer,Other,Original series
362,Town Council members,['Ash Ketchum'],One-timer,Other,Original series
363,Band of Diglett thieves,"['Chuck', 'Ash Ketchum', 'Master Hamm', ""Misty's Togepi"", 'Jessie']",One-timer,Other,Original series
364,Mayor of Diglett Village,['Ash Ketchum'],One-timer,Other,Original series
365,Ariene,"['Professor Sebastian', ""Lance's Gyarados"", 'Ash Ketchum', 'Lance', ""Lance's Dragonite"", 'Jessie', 'James', ""Ash's Totodile"", 'Giovanni', 'Carl', 'Koga', 'Lt. Surge', 'Sabrina', 'Butch', 'Cassidy', 'Attila', 'Hun', 'Oakley', 'Domino', 'Iron-Masked Marauder', 'Dr. Namba', 'Rocket Scout', 'Jubei', 'Matori', 'Pierce', 'Dr. Zager', 'Gozu', 'Blaine']",One-timer,Other,Original series
366,Jenaro,"['Clair', 'Professor Kukui', ""Lance's Dragonite"", 'Ash Ketchum', ""Lance's Gyarados"", 'Professor Sebastian', 'Shelly', 'Leon', 'Officer Jenny', 'Blaine', 'Bugsy', 'Pryce', 'Misty', 'Lt. Surge']",One-timer,Other,Original series
367,Silver,"['Lance', 'Ash Ketchum', 'Jessie', 'James', 'Professor Sebastian', ""Lance's Dragonite"", 'Pryce', 'Max', ""Brock's Mudkip"", 'Leon']",Recurring,Pokémon,Original series
368,Dr. Namba,"['Chuck', 'Blaine', ""Pryce's Piloswine"", ""Lance's Gyarados"", 'Ash Ketchum', ""Ash's Pikachu"", ""Ash's Phanpy"", ""Ash's Totodile"", ""Ash's Noctowl"", ""Ash's Cyndaquil"", 'Sheila', 'Whitney', 'DJ Mary', 'Erika', 'Lance']",Recurring,Team Rocket,Original series
369,Oliver,"['Pryce', 'Ash Ketchum', ""Pryce's Piloswine""]",Recurring,Other,Original series
370,Wings Alexander,"['Pryce', 'Ash Ketchum', ""Ash's Cyndaquil"", ""Ash's Pikachu"", 'Sheila']",One-timer,Other,Original series
371,Jasmine's Steelix,['Ash Ketchum'],Recurring,Pokémon,Original series
372,Carter,"['Ash Ketchum', ""James's Victreebel""]",One-timer,Other,Original series
373,Eusine,['Ash Ketchum'],Recurring,Other,Original series
374,Mr. Shellby,"[""Ash's Pikachu"", 'Ash Ketchum']",One-timer,Other,Original series
375,Kimie,"['Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Original series
376,Ash's Phanpy,"['Gary Oak', 'Ash Ketchum']",Recurring,Pokémon,Original series
377,Delibird,"['Ash Ketchum', ""Ash's Phanpy"", 'Jessie', ""Ash's Pikachu"", 'Max', 'Nurse Joy']",Recurring,Pokémon,Original series
378,Wendy,"['Ash Ketchum', 'Jessie', 'James', ""Misty's Corsola"", ""Ash's Phanpy"", ""Ash's Pikachu""]",One-timer,Team Rocket,Original series
379,Rocket Scout,['Delaney'],One-timer,Team Rocket,Original series
380,Lokoko,"['Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Original series
381,Kiyo,"[""Ash's Pikachu"", ""Ash's Totodile"", 'Jessie', 'James', 'Ash Ketchum']",One-timer,Other,Original series
382,Calista,"['Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Original series
383,Tyson,"['Clair', ""Clair's Dratini"", 'Ash Ketchum', 'Charla', 'James']",Recurring,Team Rocket,Original series
384,Lance,"['Lance', 'Ash Ketchum', 'Kaburagi', ""Ash's Snorlax"", ""Ash's Pikachu"", 'Alexa', ""Iris's Dragonite"", 'Drayden', ""Iris's Gible"", 'Blaine']",Recurring,Champion,Original series
385,Lance's Gyarados,"['Clair', 'Ash Ketchum', 'Jessie', ""Ash's Pikachu"", ""Jessie's Wobbuffet"", 'Blaine', 'Lance']",Recurring,Pokémon,Original series
386,Pryce,"['Ash Ketchum', 'Jessie', ""Jessie's Wobbuffet"", 'Clair', 'Charla', 'James', ""Ash's Noctowl""]",Recurring,gym leader,Original series
387,Sheila,"['Kaburagi', 'Ash Ketchum', 'Clair', 'James']",Recurring,Other,Original series
388,Pryce's Piloswine,"['Violet', 'Ash Ketchum', ""Ash's Totodile"", ""Ash's Noctowl"", ""Misty's Psyduck"", ""Misty's Corsola"", ""Misty's Goldeen""]",Recurring,Pokémon,Original series
389,Steven,"[""Ash's Lapras"", 'Ash Ketchum', 'Professor Elm', 'Pokémon poacher']",One-timer,Other,Original series
390,Egan,"['Ash Ketchum', 'Professor Elm', 'Naomi', 'Pokémon poacher', ""Ash's Pikachu"", ""Misty's Togepi"", 'Ranger Mason']",One-timer,Other,Original series
391,Lily,"['Ash Ketchum', ""Ash's Phanpy""]",One-timer,Other,Original series
392,Krystal,['Alice Telesu'],One-timer,Other,Original series
393,Brittany,"['Professor Telesu', ""Ash's Larvitar""]",One-timer,Other,Original series
394,Madeleine,"['Ash Ketchum', ""Ash's Cyndaquil"", ""Ash's Larvitar""]",One-timer,Other,Original series
395,Ken,"['Pokémon poacher', ""Ash's Larvitar"", 'Ash Ketchum', ""Ash's Pikachu"", 'Ranger Mason']",Recurring,Other,Original series
396,Delaney,"['Ash Ketchum', ""Ash's Phanpy"", ""Harrison's Blaziken"", 'Gary Oak', 'Jon Dickson', 'Professor Birch']",One-timer,Other,Original series
397,Mason,"[""Harrison's Blaziken"", ""Ash's Phanpy"", 'Ash Ketchum', ""Ash's Snorlax"", 'Jon Dickson']",One-timer,Other,Original series
398,Female Trainer,"['Ash Ketchum', ""Ash's Totodile"", ""Harrison's Blaziken"", ""Ash's Pikachu""]",One-timer,Other,Original series
399,Park warden,"['Professor Birch', 'Ash Ketchum', 'Jon Dickson']",One-timer,Other,Original series
400,Tammy,['Ash Ketchum'],One-timer,Other,Original series
401,Kaburagi,"['Ash Ketchum', ""Ash's Pikachu""]",Recurring,Other,Original series
402,Clair,"['Ash Ketchum', ""Ash's Squirtle"", 'Vincent', 'Gary Oak', ""Ash's Pikachu"", ""Ash's Totodile""]",Recurring,gym leader,Original series
403,Clair's Dratini,['Charles Goodshow'],Recurring,Pokémon,Original series
404,Wynaut,"['Ash Ketchum', 'Jessie', 'James', ""Misty's Staryu"", ""Misty's Corsola"", 'Nurse Joy', ""Misty's Gyarados""]",Recurring,Pokémon,Original series
405,Old Gym Leader,"['Ash Ketchum', ""Ash's Pikachu"", 'Officer Jenny']",One-timer,gym leader,Original series
406,Dorian,"['Ash Ketchum', 'Norman', 'Caroline', ""May's Torchic"", 'Professor Birch', 'Max', ""May's Squirtle"", 'Lilian Meridian', 'Tucker', 'Harley', ""May's Munchlax"", 'Jessie', ""Ash's Snorlax"", 'Drew', 'Solidad', 'Zoey', ""May's Skitty""]",One-timer,Other,Original series
407,Naomi,"['Norman', 'Ash Ketchum', ""Ash's Pikachu"", ""May's Torchic"", 'Keanu', 'Jessie', 'Max', 'Nancy', ""Ash's Muk"", 'Delia Ketchum', 'Dr. Yung', 'Sawyer', ""Sawyer's Treecko"", 'Old Man Swamp']",One-timer,Other,Original series
408,Ash's Larvitar,"['Professor Birch', 'Ash Ketchum', ""Ash's Pikachu"", ""May's Torchic"", 'Max', 'Dr. Yung']",Recurring,Pokémon,Original series
409,Nelson,"['Professor Birch', ""May's Skitty"", 'Max', ""Ash's Corphish"", 'Jessie', ""James's Chimecho"", 'Drew', ""Drew's Roselia"", ""James's Mime Jr."", 'Brianna', 'Harley', ""May's Squirtle"", 'Solidad', ""May's Munchlax"", ""Ash's Pikachu"", ""Dawn's Piplup""]",One-timer,Other,Original series
410,Professor Telesu,"['Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Original series
411,Alice Telesu,"['Tabitha', 'Professor Alden', 'Professor Cozmo', 'Ash Ketchum', 'Brodie', ""Ash's Pikachu"", 'Maxie', 'Mr. Briney', 'Peeko']",One-timer,Other,Original series
412,Satchel,"['Ash Ketchum', 'Norman', 'Caroline', ""May's Torchic"", 'Nicholai', 'Roxanne', ""Ash's Corphish"", ""May's Skitty"", ""Ash's Snorunt"", 'Solana', 'Jessie', ""Ash's Pikachu"", 'Harley', ""May's Munchlax"", 'Alex', 'Butler', 'Diane', 'Meta Groudon', 'Anita']",One-timer,Other,Original series
413,Braggo,"['Professor Birch', 'Max', 'Caroline', 'Ash Ketchum', ""May's Torchic"", ""Ash's Pikachu"", ""Ash's Torkoal"", 'Winona', 'Flannery', 'Wattson', 'Scott', 'Archie', 'Maxie']",One-timer,Other,Original series
414,Ranger Mason,"['Ash Ketchum', 'Max', 'Norman', ""May's Torchic"", ""Ash's Pikachu"", ""Ash's Taillow"", 'Caroline', ""Ash's Treecko"", ""Jessie's Seviper"", ""May's Skitty"", ""Ash's Corphish""]",One-timer,Other,Original series
415,Harrison,"['James', 'Pokémon poacher', 'Rico', 'Jessie', 'Ash Ketchum', ""Jessie's Seviper"", 'Tabitha', ""Ash's Corphish"", ""May's Skitty"", 'Lilian Meridian', ""James's Carnivine"", ""James's Mime Jr."", 'Gardenia', ""Barry's Empoleon""]",Recurring,Rival,Original series
416,Harrison's Houndoom,"['Pokémon poacher', 'Ash Ketchum', 'Officer Jenny', 'Jessie', 'James', ""Ash's Pikachu"", ""Officer Jenny's Growlithe""]",Recurring,Pokémon,Original series
417,Harrison's Sneasel,"['Ash Ketchum', ""Ash's Pikachu"", ""May's Torchic"", ""Jessie's Seviper"", 'Roxanne', 'Brawly', ""Ash's Corphish"", 'Nurse Joy', 'Natasha', 'Flannery', 'Max', 'Norman', ""Norman's Slaking"", ""Winona's Altaria"", 'Winona', 'Drake', 'Juan', 'Clark', 'Morrison', ""Ash's Torkoal"", 'Greta', 'Spenser', 'King of Pokélantis', 'Samuel']",Recurring,Pokémon,Original series
418,Harrison's Blaziken,"['Jessie', ""Ash's Treecko"", ""James's Cacnea"", ""James's Carnivine"", 'Ash Ketchum', 'Tabitha', 'Nicholai', ""Ash's Corphish"", ""May's Skitty"", 'Lucy', ""Lucy's Seviper"", 'Barbara', ""Dawn's Pachirisu"", 'Zoey', ""Zoey's Glameow"", ""Zoey's Shellos"", ""Nando's Kricketune"", 'Cassidy', ""Dawn's Piplup"", 'Ursula', 'Princess Salvia', ""Dawn's Togekiss"", 'Fantina', ""Dawn's Buneary"", ""Dawn's Cyndaquil""]",Recurring,Pokémon,Original series
419,Darren,"[""Alex's grandfather"", 'Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Original series
420,Salvador,"['Alex', 'Ash Ketchum']",One-timer,Other,Original series
421,Macy,"['Ash Ketchum', 'Max', ""Ash's Treecko"", ""Ash's Taillow"", ""Ash's Pikachu"", 'Jessie', 'James']",Recurring,Other,Original series
422,Jon Dickson,"['Pokémon poacher', 'Max', ""Ash's Pikachu""]",One-timer,Other,Original series
423,Kim,"['Nicole', 'Ash Ketchum', ""Ash's Pikachu""]",Recurring,Other,Original series
424,Captain,"[""Brock's Mudkip"", ""Ash's Corphish"", 'Samantha', 'Lola', ""Misty's Psyduck""]",One-timer,Other,Original series
425,May,['Max'],Main,Other,Advanced generation
426,Professor Birch,"['Janet', 'Ash Ketchum', ""Ash's Pikachu"", 'Roxanne', 'Timmy Grimm']",Recurring,Pokémon,Advanced generation
427,Joshua,"['Raoul Contesta', 'Nurse Joy', 'Jessie', ""Jessie's Seviper"", ""May's Bulbasaur"", 'Savannah', 'Officer Jenny', ""Brock's Happiny"", 'Marian']",Recurring,Other,Advanced generation
428,May's Torchic,"['Mr. Sukizo', 'Nurse Joy', 'Jessie', ""Jessie's Seviper"", 'Drew', ""Drew's Roselia"", ""May's Bulbasaur"", 'Savannah', ""May's Munchlax"", 'Officer Jenny', 'Ash Ketchum', ""May's Skitty"", 'Marian']",Recurring,Pokémon,Advanced generation
429,Professor Alden,"['Forrester Franklin', 'Ash Ketchum', 'Max']",One-timer,Other,Advanced generation
430,Team Magma Grunts,"['Forrest Franklin', 'Ash Ketchum', ""Ash's Pikachu"", ""Ash's Treecko""]",Recurring,Team Magma,Advanced generation
431,Max,"['Janet', 'Forrest Franklin', ""May's Torchic"", 'Jessie', 'Max', ""Ash's Pikachu"", 'Drew', ""Drew's Roselia"", 'James', ""May's Bulbasaur"", ""Harley's Cacturne"", 'Caroline', 'Zoey', ""Zoey's Glameow""]",Main,Other,Advanced generation
432,Norman,"['Jessie', 'James', 'Ash Ketchum', 'Zoey', ""Zoey's Glameow"", ""Zoey's Shellos"", ""Kenny's Prinplup"", 'Austin', ""May's Wurmple""]",Recurring,gym leader,Advanced generation
433,Caroline,"['Steven Stone', 'Ash Ketchum', 'Max', ""Ash's Treecko"", ""Ash's Pikachu"", 'Flannery', 'Professor Cozmo', 'Brawly', 'Wallace', 'Tabitha']",Recurring,Relative,Advanced generation
434,Ash's Taillow,['Max'],Recurring,Pokémon,Advanced generation
435,Nicholai,"['Roxanne', 'Max', 'Anita', 'Ash Ketchum']",Recurring,Other,Advanced generation
436,James's Cacnea,"['Max', 'Anita', 'Ash Ketchum', ""Brock's Lotad"", 'Roxanne', ""Ash's Pikachu""]",Recurring,Pokémon,Advanced generation
437,Rico,"['Roxanne', 'Ash Ketchum', ""Ash's Pikachu""]",One-timer,Other,Advanced generation
438,Ash's Treecko,"['Steven Stone', 'Mr. Briney', 'Max', 'Kennedy', 'Officer Jenny', 'Ash Ketchum', 'Drake']",Recurring,Pokémon,Advanced generation
439,Jessie's Seviper,"['Mr. Stone', 'Ash Ketchum', 'Steven Stone']",Recurring,Pokémon,Advanced generation
440,Alex,"['Shelly', 'Jessie', 'James', 'Mr. Briney', 'Peeko', 'Professor Cozmo', 'Brodie', ""James's Cacnea"", 'Archie', 'Matt']",One-timer,Other,Advanced generation
441,Alex's grandfather,"['Peeko', 'Steven Stone', 'Norman', 'Drake', 'Mr. Stone', 'Max', 'Maxie', 'Archie']",One-timer,Other,Advanced generation
442,Anthony,"['Mr. Briney', 'Ash Ketchum', ""Ash's Pikachu"", ""Brock's Lotad"", 'Max', ""Ash's Taillow"", 'Maxie']",One-timer,Other,Advanced generation
443,Katrina,"['Bruno', 'Steven Stone', 'Chuck', 'Ash Ketchum', ""Ash's Pikachu"", ""Ash's Taillow"", ""Ash's Treecko"", ""Ash's Corphish"", ""Brawly's Makuhita"", 'Flannery', 'Roxanne', 'Wallace', 'Tabitha']",One-timer,Other,Advanced generation
444,Natalie,"['Brawly', ""Ash's Pikachu"", ""Ash's Treecko"", ""Ash's Taillow"", 'Ash Ketchum', ""Ash's Corphish"", 'Bruno']",One-timer,Other,Advanced generation
445,Nicole,"['Mr. Stone', 'Wallace', 'Maxie', 'Tabitha', 'Professor Oak', 'Matt', ""Steven's Metagross"", 'Ash Ketchum', 'Nurse Joy', 'Max', ""Ash's Pikachu"", 'Brawly', 'Alain', 'Lysandre', 'Giant Rock', 'Mairin', 'Chespie', 'Malva', 'Sawyer', 'Diantha', 'Mable', ""Alain's Charizard"", 'Captain Stern', 'Norman', 'Professor Cozmo', 'Gurkinn', 'Brandon']",One-timer,Other,Advanced generation
446,Rita,"['Jessie', 'James', ""Ash's Corphish"", ""Jessie's Wobbuffet"", 'Professor Birch', ""Ash's Treecko"", 'Mitch Mitchum', 'Lisa Mitchum']",One-timer,Other,Advanced generation
447,Brock's Lotad,"['Ash Ketchum', ""Ash's Treecko"", 'Brawly', 'Flannery', ""Jessie's Seviper"", ""James's Cacnea"", 'Max', ""Tate's Solrock"", ""Ash's Snorunt"", 'Juan', ""Ash's Pikachu"", ""Ash's Torkoal"", 'Dominick', 'Morrison', 'Tucker', 'Anabel', ""Ash's Totodile"", ""Dawn's Piplup"", ""Ash's Cyndaquil"", 'Goh', ""May's Torchic""]",Recurring,Pokémon,Advanced generation
448,Janet,"['Old Man Swamp', ""Brock's Lotad"", ""Ash's Pikachu"", ""Ash's Treecko"", ""Ash's Corphish"", ""May's Torchic"", 'Yuma', 'Mollie', ""May's Eevee"", 'Ash Ketchum', ""Ash's Bulbasaur""]",One-timer,Other,Advanced generation
449,Chaz,"['Ash Ketchum', 'Max', ""Brock's Mudkip"", 'James', ""James's Cacnea"", ""Brock's Lotad"", ""Ash's Pikachu""]",Recurring,Other,Advanced generation
450,Mr. Sukizo,"['Ash Ketchum', 'Max']",Recurring,Other,Advanced generation
451,Raoul Contesta,"['Professor Cozmo', 'Maxie', 'Steven Stone', 'Matt', 'Captain Stern', 'Ash Ketchum', 'Shelly', 'Flannery', 'Wallace', 'Mr. Stone']",Recurring,Other,Advanced generation
452,Forrest Franklin,"['Archie', 'Professor Cozmo', 'Tabitha', 'Brodie', 'Matt', 'Mr. Stone', 'Flannery']",One-timer,Other,Advanced generation
453,Forrester Franklin,"['Shelly', 'Tabitha', 'Ash Ketchum', 'Brawly', ""Ash's Pikachu""]",One-timer,Other,Advanced generation
454,May's Wurmple,"['Ash Ketchum', ""May's Torchic"", 'Max', ""Ash's Pikachu"", ""Brock's Mudkip"", ""Ash's Corphish"", ""Jessie's Seviper""]",Recurring,Pokémon,Advanced generation
455,Jessie's Wurmple,"[""Drew's Roselia"", 'Ash Ketchum', ""Ash's Taillow"", 'Timmy Grimm', 'Savannah', ""Ash's Pikachu"", ""May's Skitty"", 'Harley', 'Solidad', ""May's Squirtle"", 'Gary Oak', 'Lilian Meridian']",Recurring,Pokémon,Advanced generation
456,Roxanne,"['Drew', ""Ash's Pikachu"", ""May's Torchic"", ""Ash's Taillow"", 'Timmy Grimm', ""Jessie's Seviper"", ""May's Skitty"", 'Solidad', ""Ash's Aipom"", 'Harley']",Recurring,gym leader,Advanced generation
457,Anita,"['Ash Ketchum', ""Ash's Taillow"", ""May's Torchic"", 'Drew']",One-timer,Other,Advanced generation
458,Tommy,"['Nurse Joy', 'Ash Ketchum', 'Max', ""May's Torchic"", ""Stephanie's father""]",One-timer,Other,Advanced generation
459,Kenny,['Nurse Joy'],One-timer,Other,Advanced generation
460,Roxanne's Nosepass,"['Lilian Meridian', 'Raoul Contesta', 'Jessie', 'Savannah', ""May's Bulbasaur"", 'Ash Ketchum', 'Mr. Sukizo', 'Nurse Joy', 'Drew']",One-timer,Pokémon,Advanced generation
461,Mr. Stone,"['Drew', 'Raoul Contesta', 'Jessie', 'Ash Ketchum', ""Ash's Snorunt""]",One-timer,Other,Advanced generation
462,Kennedy,"['Max', 'Ash Ketchum', ""Ash's Pikachu"", 'Captain Stern', ""Ash's Corphish"", 'Officer Jenny']",One-timer,Other,Advanced generation
463,Team Aqua Grunts,"['Ash Ketchum', 'Max', 'Tabitha', 'Officer Jenny', 'Norman', 'Steven Stone', 'Wallace']",Recurring,Team Aqua,Advanced generation
464,Mr. Briney,"['Alyssa', 'Ash Ketchum', 'Sheridan', 'Max', ""Ash's Pikachu""]",Recurring,Other,Advanced generation
465,Peeko,"['Thatcher', 'Ash Ketchum']",Recurring,Pokémon,Advanced generation
466,Brawly,"['Earl Dervish', 'Wattson']",Recurring,gym leader,Advanced generation
467,Brawly's Makuhita,"['Ash Ketchum', 'Trick Master', ""Ash's Pikachu"", 'Ivan']",Recurring,Pokémon,Advanced generation
468,Steven Stone,"['Trick Master', 'Alanna']",Recurring,Champion,Advanced generation
469,Loudred,"['Ash Ketchum', ""Ash's Pikachu"", ""May's Skitty"", ""Ash's Torkoal"", ""Wattson's Electrike"", 'Flannery', 'Winona', 'Shelly', 'Matt', 'Trick Master']",Recurring,Pokémon,Advanced generation
470,Ash's Corphish,"['Wattson', 'Ash Ketchum', ""May's Skitty""]",Recurring,Pokémon,Advanced generation
471,Brock's Mudkip,"['Wattson', ""Ash's Pikachu"", ""Ash's Torkoal"", 'Trick Master', 'Shelly']",Recurring,Pokémon,Advanced generation
472,Old Man Swamp,"['Ash Ketchum', ""Ash's Treecko"", ""Ash's Corphish""]",One-timer,Other,Advanced generation
473,Keanu,"['Juliet', 'Ash Ketchum']",One-timer,Other,Advanced generation
474,Tabitha,"['Romeo', 'Jessie', ""Jessie's Seviper""]",Recurring,Team Magma,Advanced generation
475,Shelly,"['Ash Ketchum', ""Ash's Pikachu"", 'Jessie', ""Ash's Treecko""]",Recurring,Team Aqua,Advanced generation
476,Shauna,"[""Misty's Togepi"", 'Ash Ketchum', 'Max', 'Princess Sara']",Recurring,Other,Advanced generation
477,Tommy,"[""Misty's Togepi"", 'Colonel Hansen']",One-timer,Other,Advanced generation
478,Drew,"['Ash Ketchum', 'Colonel Hansen', 'Princess Sara', 'Max', ""Misty's Togepi""]",Recurring,Rival,Advanced generation
479,Drew's Roselia,"['Princess Sara', 'Colonel Hansen', 'Ash Ketchum']",Recurring,Pokémon,Advanced generation
480,Mr. Big,"['Ash Ketchum', ""Brock's Mudkip"", ""Drew's Roselia"", ""Ash's Corphish"", ""Ash's Pikachu""]",One-timer,Other,Advanced generation
481,Stephanie,"[""May's Skitty"", 'Ash Ketchum', ""Jessie's Wobbuffet""]",One-timer,Other,Advanced generation
482,Stephanie's father,"[""May's Torchic"", 'Jessie', 'Max', ""Ash's Pikachu"", 'Julie', ""Ash's Torkoal"", 'Dr. Abby', ""Jessie's Seviper"", ""James's Cacnea"", 'Stefano', 'Timmy Grimm', 'Erica', 'Harley', 'Raoul Contesta', ""Drew's Roselia"", ""Ash's Corphish"", 'Drew', ""Ash's Aipom""]",One-timer,Other,Advanced generation
483,Vivian Meridian,"[""May's Skitty"", 'Nurse Joy', 'Norman', ""Ash's Treecko"", ""Ash's Pikachu"", 'Jessie', ""Jessie's Seviper"", ""James's Cacnea""]",Recurring,Other,Advanced generation
484,Robert,"['Drew', ""Drew's Roselia""]",Recurring,Other,Advanced generation
485,Marius,"['Thatcher', 'Ash Ketchum', 'Max']",One-timer,Other,Advanced generation
486,Captain Stern,"['Ash Ketchum', ""May's Skitty"", 'Max', ""Ash's Pikachu"", ""Jessie's Seviper""]",One-timer,Other,Advanced generation
487,Thatcher,"['Steven Stone', 'Ash Ketchum', 'Roxanne', 'Winona', 'Flannery', 'Mr. Stone']",Recurring,Other,Advanced generation
488,Alyssa,['Flannery'],One-timer,Other,Advanced generation
489,Trick Master,"['Norman', 'Mr. Moore', 'Ash Ketchum', 'Jessie', 'James', ""Ash's Corphish"", ""Ash's Treecko"", ""Ash's Pikachu"", 'Winona', 'Roxanne', 'Brawly', 'Wattson', 'Matt', 'Shelly', 'Tabitha', 'Professor Cozmo']",One-timer,Other,Advanced generation
490,Alanna,"['Royce', 'Ash Ketchum', 'Kain']",One-timer,Other,Advanced generation
491,Ivan,"['Claire', 'Ash Ketchum']",One-timer,Other,Advanced generation
492,Wattson,['Claire'],Recurring,gym leader,Advanced generation
493,Watt,"['Ash Ketchum', 'Flannery', ""Ash's Treecko"", ""Ash's Corphish"", 'Wattson', ""Wattson's Electrike"", 'Norman', 'Dominick', 'Morrison', ""Ash's Cyndaquil"", 'Scott', ""Ash's Heracross""]",Recurring,Other,Advanced generation
494,Wattson's Electrike,"['Ash Ketchum', ""May's Skitty"", ""Ash's Torkoal"", 'Jessie', 'James', ""Jessie's Seviper"", ""James's Cacnea"", 'Dr. Moss', 'Max']",Recurring,Pokémon,Advanced generation
495,Natasha,['Dr. Abby'],One-timer,Other,Advanced generation
496,Romeo,"['Tommy Grimm', 'Mrs. Grimm', 'Ash Ketchum', 'Jessie', ""Drew's Roselia"", 'Drew', ""Ash's Pikachu"", ""May's Skitty""]",One-timer,Other,Advanced generation
497,Juliet,"['Tommy Grimm', 'Timmy Grimm', 'Ash Ketchum']",One-timer,Other,Advanced generation
498,Michelle,"['Mrs. Grimm', 'Timmy Grimm']",One-timer,Other,Advanced generation
499,Colonel Hansen,"['Timmy Grimm', 'Jessie', ""May's Skitty""]",Recurring,Other,Advanced generation
500,Princess Sara,"['Ash Ketchum', ""Brock's Mudkip""]",Recurring,Other,Advanced generation
501,Miranda,"['Ash Ketchum', ""Mary's grandmother"", ""May's Skitty""]",Recurring,Other,Advanced generation
502,King and Queen,"['Ash Ketchum', 'Max']",Recurring,Other,Advanced generation
